date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260618,603979,金诚信,80.99,49.2,2.0,1.33,15.834,32.587,12.52,24.385,9.887,-1.348,80.5,70.39,0.0,84.83,80.99,100.0,9.92,9.21,-16.47,-4.05,-17.85,0.0197,0.02146,0.01611,1.332,-5.688,7.917,-5.822,-5.822,0.606,False
20260622,603979,金诚信,81.83,52.7,4.8,1.38,14.542,43.907,10.114,29.383,13.825,-1.437,82.0,70.75,0.0,85.71,81.83,100.0,12.96,12.66,-13.68,-15.77,-16.83,0.0226,0.02268,0.016390000000000002,1.384,4.371,7.304,-2.678,-2.678,0.76,False
20260617,301086,鸿富瀚,79.63,69.7,26.1,1.58,17.481,137.838,15.818,130.242,66.146,15.796,77.75,79.6,45.0,71.2,79.63,55.0,41.76,130.56,0.0,-4.77,1.41,0.07339999999999999,0.07436000000000001,0.051054999999999996,1.456,26.785,45.256,-0.519,-0.519,1.147,True
20260625,301086,鸿富瀚,77.83,72.3,22.4,1.2,30.626,153.162,28.346,141.044,63.575,17.035,76.25,79.6,45.0,70.38,77.83,55.0,35.79,127.68,-2.83,-1.33,-11.68,0.0535,0.06588,0.05544000000000001,1.188,-2.827,3.276,-7.459,-7.459,0.857,False
20260617,605589,圣泉集团,79.63,74.0,25.7,1.5,40.618,116.852,38.955,109.256,70.903,15.755,77.75,79.6,45.0,71.2,79.63,55.0,50.39,100.74,-0.98,2.34,12.84,0.10460000000000001,0.11542000000000001,0.07687,1.501,13.855,11.69,-4.419,-4.419,0.956,False
20260617,688432,有研硅,79.63,65.4,25.2,1.53,24.691,78.908,23.027,71.312,56.286,10.289,77.75,79.6,45.0,71.2,79.63,55.0,43.98,80.02,0.0,-6.34,-0.39,0.0552,0.054000000000000006,0.035205,1.534,25.107,10.034,-3.32,-3.32,1.032,True
20260618,688432,有研硅,79.57,67.9,19.5,1.52,32.793,75.709,29.479,67.507,51.768,10.019,77.75,79.12,45.0,71.13,79.57,55.0,37.66,73.62,-3.13,-6.68,20.0,0.043899999999999995,0.054180000000000006,0.03554500000000001,1.524,1.276,9.771,-6.345,-6.345,0.895,False
20260622,688432,有研硅,77.77,72.2,17.4,1.42,30.026,86.093,25.597,71.569,46.397,11.165,76.25,79.12,45.0,70.31,77.77,55.0,35.43,72.16,-3.51,4.46,50.43,0.038599999999999995,0.051239999999999994,0.036134999999999994,1.418,-0.979,20.716,-6.713,-6.713,0.843,False
20260623,688432,有研硅,79.35,67.6,11.2,1.23,22.088,75.054,22.133,65.117,40.584,10.817,76.25,79.12,10.0,80.81,79.35,90.0,28.32,64.15,-7.63,28.59,66.33,0.031400000000000004,0.0448,0.03644,1.229,-7.631,-3.43,-10.697,-10.697,0.722,False
20260624,688432,有研硅,78.24,64.8,9.2,1.07,25.418,72.505,25.515,63.567,39.612,10.759,77.0,79.12,10.0,81.22,78.24,90.0,26.06,62.28,-8.32,51.47,87.09,0.027999999999999997,0.03942,0.03675,1.073,-5.356,-5.912,-11.361,-11.361,0.685,False
20260715,688432,有研硅,66.2,62.4,7.5,0.98,62.334,183.39,64.329,182.331,85.973,33.259,69.5,78.16,10.0,,,,51.09,142.0,-26.75,6.61,9.23,0.0364,0.05414,0.05536,0.978,-26.749,-7.476,-31.787,-31.787,0.57,False
20260720,688432,有研硅,64.8,51.9,4.0,0.8,67.141,174.302,76.259,177.861,79.98,33.781,61.75,78.16,10.0,,,,46.89,140.94,-25.32,1.36,-0.77,0.0509,0.04442,0.055385000000000004,0.802,1.954,-13.91,-30.454,-30.454,0.546,False
20260722,688432,有研硅,66.0,47.9,1.4,0.85,80.233,181.051,84.801,182.495,84.0,34.078,60.25,78.16,0.0,,,,45.24,142.35,-23.48,-7.71,-16.76,0.048,0.0495,0.05788,0.855,11.394,4.462,-28.743,-28.743,0.521,False
20260807,688432,有研硅,66.0,46.1,2.0,1.17,-31.219,103.502,-29.413,107.982,54.874,19.125,53.75,77.89,0.0,,,,16.51,103.24,-31.22,3.88,4.65,0.0689,0.05936,0.05093500000000001,1.165,38.887,33.413,-29.742,-35.949,0.531,False
20260812,688432,有研硅,67.2,49.8,9.0,1.2,-1.833,90.99,0.17,94.328,53.666,19.497,74.75,78.16,10.0,,,,17.06,107.92,-28.09,4.38,,0.0452,0.06295999999999999,0.052635,1.196,4.547,23.446,-13.698,-33.037,0.657,False
20260813,688432,有研硅,69.0,53.6,5.1,1.1,-1.833,90.99,0.17,94.328,49.019,19.197,74.75,78.16,0.0,,,,11.93,99.75,-30.44,,,0.0537,0.0586,0.053434999999999996,1.097,-5.678,4.016,-16.518,-35.225,0.589,False
