code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
2072,20260624,1.0,62.5,10.0,,-8.66,-10.2,7.711,
593,20260624,1.0,62.5,10.0,,-17.08,-5.54,1.263,
2925,20260624,-2.0,55.0,10.0,0.836,0.69,8.97,10.308,1.514
603262,20260624,-2.0,55.0,10.0,,-9.04,-15.34,14.763,
2056,20260624,1.0,62.5,10.0,,4.99,12.02,6.976,
2446,20260624,1.0,62.5,10.0,,-12.86,-0.18,-4.928,
2008,20260624,-2.0,55.0,10.0,,-8.16,-10.26,11.426,
300943,20260624,-6.0,45.0,10.0,,-1.99,4.1,26.933,
688179,20260624,-7.0,42.5,10.0,1.308,1.61,18.38,25.435,0.957
301548,20260624,-7.0,42.5,10.0,,-7.99,-1.48,27.34,
2989,20260624,-9.0,37.5,10.0,-2.766,-14.22,-12.08,22.28,-3.37
301308,20260624,-2.0,55.0,10.0,,10.4,1.96,14.762,
688291,20260624,-9.0,37.5,10.0,-2.579,-11.52,-6.97,23.78,-2.861
300042,20260624,-2.0,55.0,10.0,,-3.41,-0.43,13.348,
688479,20260624,-2.0,55.0,10.0,-2.579,1.0,3.49,13.956,-2.861
