group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,daily_entry_score,quantitative_score,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,lt_ma50_slope_pct
missed,20260626,300042,朗科科技,5.45,-3.61,52.1,6.6,1.22,11.951,57.494,12.887,49.373,100.0,34.859,15.742,100.0,58.679,82.0,,78.85,79.75,10.0,90.0,82.69,81.18,12.78,76.59,-6.69,4.34
missed,20260625,300093,金刚光伏,3.64,-4.9,56.5,7.8,1.39,19.854,36.635,18.394,25.999,100.0,21.184,4.592,100.0,29.319,82.0,,78.73,79.75,10.0,90.0,82.67,81.16,12.13,46.56,0.0,2.08
missed,20260626,603335,迪生力,3.93,-2.7,68.4,14.0,1.74,22.493,53.22,23.429,45.099,100.0,33.176,7.024,100.0,39.758,82.0,,79.15,77.75,10.0,90.0,81.64,81.15,22.65,44.77,-0.66,3.8
missed,20260629,300835,龙磁科技,-10.82,-21.86,59.8,8.4,1.23,23.721,182.868,23.01,173.185,100.0,72.555,27.424,100.0,104.708,82.0,,78.52,79.75,10.0,90.0,82.64,81.14,45.27,146.12,-12.27,10.96
missed,20260625,688392,骄成超声,26.92,23.86,58.1,9.8,1.22,17.255,78.811,14.975,66.694,100.0,29.008,3.267,100.0,33.663,82.0,,78.55,79.75,10.0,90.0,82.65,81.14,16.53,46.2,0.0,3.41
missed,20260623,002203,海亮股份,-7.0,-5.88,64.3,14.0,1.51,16.395,95.02,16.44,85.083,100.0,36.19,10.346,100.0,49.394,82.0,,79.12,77.75,10.0,90.0,81.63,81.14,22.51,66.81,-7.26,5.28
missed,20260617,603681,永冠新材,-7.28,-9.06,56.6,8.6,1.28,21.395,52.098,19.732,44.502,100.0,28.117,4.819,100.0,30.884,82.0,,78.43,79.75,10.0,90.0,82.63,81.12,25.65,37.75,-4.36,4.2
missed,20260617,688733,壹石通,-2.07,-0.1,60.2,13.2,1.53,15.418,52.23,13.755,44.634,100.0,34.303,4.78,100.0,35.867,82.0,,78.91,77.75,10.0,90.0,81.6,81.12,27.07,41.17,0.0,4.6
missed,20260629,002158,汉钟精机,2.74,2.96,72.3,14.3,1.51,17.45,59.526,16.738,49.843,100.0,25.671,5.582,100.0,30.738,82.0,,78.91,77.75,10.0,90.0,81.6,81.12,17.39,35.86,-2.04,3.77
missed,20260626,688179,阿拉丁,19.27,1.58,61.4,13.6,1.75,12.251,44.109,13.187,35.988,100.0,27.503,7.203,100.0,40.762,82.0,,78.85,77.75,10.0,90.0,81.59,81.11,16.58,53.9,-7.49,3.67
